FRASEO,P11_COD1,P11_COD2,P11_COD3
"siempre tramito tarjetas de crédito, pero nunca me la han dado                                                                                                                                                                                                ",OTROS,,
para ahorrar                                                                                                                                                                                                                                                   ,AHORRAR E INVERTIR PARA UN FUTURO,,
para cualquier emergenciaa                                                                                                                                                                                                                                     ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
pienso que es una buena opcion para cuando uno no tiene dinero y quiere comprar algo a credito sin que suba mucho el interes                                                                                                                                   ,PARA HACER COMPRAS,,
Para pagar todas sus compras en cualquier lugar                                                                                                                                                                                                                ,PARA HACER COMPRAS,,
Para sacar cosas con el crédito y pagar poco a poco                                                                                                                                                                                                           ,PARA HACER COMPRAS,,
Para no cargar efectivo y pagar a plazos                                                                                                                                                                                                                       ,PARA HACER COMPRAS,,
Para poder pagar sin tener efecto en la mano                                                                                                                                                                                                                   ,PARA HACER COMPRAS,,
comprar algúnas cosas que mi hijo necesita                                                                                                                                                                                                                    ,PARA HACER COMPRAS,,
Para imprevistos                                                                                                                                                                                                                                               ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
hacer compras de emergencia                                                                                                                                                                                                                                    ,PARA HACER COMPRAS,PARA TENER UN RESPALDO EN EMERGENCIAS,
pagar mis compras                                                                                                                                                                                                                                              ,PARA HACER COMPRAS,,
para pagar mis cosas                                                                                                                                                                                                                                           ,PARA GASTOS EN GENERAL,,
"para los imprevistos, y para no tener mucha presión cuando no tengo dinero                                                                                                                                                                                    ",PARA TENER UN RESPALDO EN EMERGENCIAS,,
para comprar y prestar dinero                                                                                                                                                                                                                                  ,PARA HACER COMPRAS,,
para usarla cuando hay poco dinero en casa                                                                                                                                                                                                                     ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
porque aveces no hay dinero y ayuda mucho tener crédito                                                                                                                                                                                                       ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
dejar de cargar dinero y comprar más fácil en ciertas tiendas                                                                                                                                                                                                ,PARA HACER COMPRAS,,
La tendría para una emergencia                                                                                                                                                                                                                                ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
paea hacer compras y poder pagar despues no en el momento me seria muy util                                                                                                                                                                                    ,PARA HACER COMPRAS,,
"para comprar cosas que gusten, ropa, zapatos o algúna salida y no lleve efectivo                                                                                                                                                                              ",PARA HACER COMPRAS,,
para poder gastos que ahora ya tengo como ropa zapatos y poder pagar mas adelante                                                                                                                                                                              ,PARA HACER COMPRAS,,
"Porque con eso puedes comprar muchas cosas, sin necesidad de llevar efectivo, es una manera más facil y no te arriesgas                                                                                                                                       ",PARA HACER COMPRAS,,
para tener más opciones donde prestar                                                                                                                                                                                                                         ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
pagar con ella cuando me quedo sin dinero para terminar la quincena                                                                                                                                                                                            ,PARA HACER COMPRAS,,
es como dinero en efectivo en la bolsa y lo pago poco a poco                                                                                                                                                                                                   ,PARA HACER COMPRAS,,
para amueblar mi casa y hacerle arreglos que necesita                                                                                                                                                                                                          ,PARA HACER COMPRAS,,
para pagar cuando en centros comerciales y supermercados                                                                                                                                                                                                       ,PARA HACER COMPRAS,,
para tenerla para cualquier emergencia                                                                                                                                                                                                                         ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
se hacerca la fiesta de xv años de mi hija y a nadie le cae mal un dinero extra                                                                                                                                                                               ,PARA GASTOS EN GENERAL,,
comprar cosas personales y cosas que se necesitan en mi casa (Pintar y muebles9                                                                                                                                                                                ,PARA HACER COMPRAS,,
Para pagar algunas cosas como ropa o comida.                                                                                                                                                                                                                   ,PARA GASTOS EN GENERAL,,
"Para todo tipo de cosas como comprar ropa, electrodomesticos, pagar en un restaurante, etc.                                                                                                                                                                    ",PARA HACER COMPRAS,,
para algúna emergencia                                                                                                                                                                                                                                        ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
comprar cosas sin necesidad de tener efectivo al momento                                                                                                                                                                                                       ,PARA HACER COMPRAS,,
para sacar cosas a meses sin intereses                                                                                                                                                                                                                         ,PARA HACER COMPRAS,,
para comprarme ropa y zapatos                                                                                                                                                                                                                                  ,PARA HACER COMPRAS,,
Comenta que sería mejor ya que podría surgir cualquier emergencia o que se quede sin dinero                                                                                                                                                                  ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
para poder hacer compras sin problemas una para estudiantes                                                                                                                                                                                                    ,PARA HACER COMPRAS,,
Yo digo para comprar los útiles de la escuela o pagar la colegiatura                                                                                                                                                                                          ,PARA GASTOS DE LA ESCUELA,PARA HACER COMPRAS,
prestamos de dinero para comprar o pagar las necesidades que a veces tengo y comprar un mototaxi que es lo que quiero                                                                                                                                          ,PARA GASTOS EN GENERAL,PARA HACER COMPRAS,
para emergencias                                                                                                                                                                                                                                               ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
para lo que la he usado es para pagar la colegiatura y renta de un hijo que estudia en otra ciudad                                                                                                                                                             ,PARA GASTOS DE LA ESCUELA,,
para el próximo parto ya que se vienene gastos del bebe                                                                                                                                                                                                       ,GASTOS MÉDICOS,,
"para cubrir los gastos que sean necesarios, porque muchas veces se termina antes la quincena                                                                                                                                                                   ",PARA GASTOS EN GENERAL,,
me iría con mis amigos de viaje y en eso utilizaria el dinero                                                                                                                                                                                                 ,PARA IRME DE VIAJE O VACACIONES,,
por emergencias                                                                                                                                                                                                                                                ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
para apoyarme en otras cosas que necesito comprar para invertir en un negocio                                                                                                                                                                                  ,PARA HACER COMPRAS,AHORRAR E INVERTIR PARA UN FUTURO,
para poder sacar las cosas que nesesito en pagos se ma haría mas sencillo                                                                                                                                                                                     ,PARA SOLICITAR ALGUN PRESTAMO O CREDITO,,
compras del mandado y no traer efectivo                                                                                                                                                                                                                        ,PARA HACER COMPRAS,,
facilidad de pago                                                                                                                                                                                                                                              ,PARA HACER VARIAS OPERACIONES COMODAMENTE,,
Para no cargar efectivo y no arriesgarse a tener efectivo                                                                                                                                                                                                      ,POR SEGURIDAD,,
para comprar cosas para la casa como una lavadora                                                                                                                                                                                                              ,PARA HACER COMPRAS,,
"por algúna necesidad de dinero, porque a veces no alcanza                                                                                                                                                                                                     ",PARA TENER UN RESPALDO EN EMERGENCIAS,,
comprar cosas en mercado libre y asi hacerme de mis cosas personales                                                                                                                                                                                           ,PARA HACER COMPRAS,,
"porque a veces no alcanza el credito de compartamos y no me dan en cualquier lado, me gustaría tener otro credito                                                                                                                                             ",PARA SOLICITAR ALGUN PRESTAMO O CREDITO,,
para poder comprar muebles s credito ye irlos psgando poco s poco                                                                                                                                                                                              ,PARA HACER COMPRAS,,
para poder comprar con descuentos linea blanca                                                                                                                                                                                                                 ,PARA HACER COMPRAS,,
nunca he tenido y me gustaría una                                                                                                                                                                                                                             ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
para comprar las cosas que nesesito y me hacen falta en mi casa                                                                                                                                                                                                ,PARA HACER COMPRAS,,
"para comprar ropa y otras cosas a crédito, y no cargar efectivo                                                                                                                                                                                               ",PARA HACER COMPRAS,,
comprar cosas a plazos fijos                                                                                                                                                                                                                                   ,PARA HACER COMPRAS,,
compraría las cosas que no me alcanza a pagar con lo que gano y la pagaría mensual                                                                                                                                                                           ,PARA HACER COMPRAS,,
para emergenias                                                                                                                                                                                                                                                ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
para pagar a meses sin intereses                                                                                                                                                                                                                               ,PARA HACER COMPRAS,,
pagos de mensualidad                                                                                                                                                                                                                                           ,PARA HACER COMPRAS,,
para comprar cosas personales (ropa y zapatos)                                                                                                                                                                                                                 ,PARA HACER COMPRAS,,
comenta que le seria mas fácil comprar y pagar en pagos pequeños y comodos                                                                                                                                                                                   ,PARA HACER COMPRAS,,
para comprar muebles a  credito y asi poder renovar su casa                                                                                                                                                                                                    ,PARA HACER COMPRAS,PARA MEJORAS EN LA CASA,
para una emergencia                                                                                                                                                                                                                                            ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
en la compra de un automovil y comprar muebles que hacen falta e su casa                                                                                                                                                                                       ,PARA COMPRAR UN AUTO,PARA HACER COMPRAS,
para movilizar más el dinero                                                                                                                                                                                                                                  ,AHORRAR E INVERTIR PARA UN FUTURO,,
no molestaría a mis padres para comprar las cosas que quiero                                                                                                                                                                                                  ,PARA HACER COMPRAS,,
comprar cosas necesarias                                                                                                                                                                                                                                       ,PARA HACER COMPRAS,,
solventaria los gastos en el hogar porque siempre tenemos deudas y aveces no alcanza para la comida                                                                                                                                                            ,PAGAR DEUDAS,,
para ayudar a mi familia con los gastos de la casa sin que se preocupen por mí                                                                                                                                                                                ,APOYAR A MIS FAMILIARES,,
pagar todas mis compras sin traer efectivo                                                                                                                                                                                                                     ,PARA HACER COMPRAS,,
para poder pagar mis cosas en pequeños pagos                                                                                                                                                                                                                  ,PARA HACER COMPRAS,,
"Para comprar en tiendas, pagar en supermercados.                                                                                                                                                                                                               ",PARA HACER COMPRAS,,
para poder sacar una television a credito e irla pagando poco a poco                                                                                                                                                                                           ,PARA HACER COMPRAS,,
para todo pero la verdad no podría mantenerla                                                                                                                                                                                                                 ,OTROS,,
pues cuando falta dinero en casa es de mucha ayuda para comprar lo necesario                                                                                                                                                                                   ,PARA HACER COMPRAS,,
para sacar cosas a meses sin interés                                                                                                                                                                                                                          ,PARA HACER COMPRAS,,
por cualquier emergencia                                                                                                                                                                                                                                       ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
para poder comprar cosas que voy ocupando sin necesidad de haber ahorrado antes                                                                                                                                                                                ,PARA HACER COMPRAS,,
para emergencia                                                                                                                                                                                                                                                ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
para poder tener dinero en caso de querer comprarme algo y pagar a plazos                                                                                                                                                                                      ,PARA HACER COMPRAS,,
pro emergencia                                                                                                                                                                                                                                                 ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
me gustaría saber que tengo un poco de dinero disponible para  poder comprar algo que no puedo pagar de contado                                                                                                                                               ,PARA HACER COMPRAS,,
para cualquier emergencia que tenga o cualquier problema que se presente                                                                                                                                                                                       ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
para poder tener descuentos en la teinda de elektra                                                                                                                                                                                                            ,PARA HACER COMPRAS,,
pagos con facilidades                                                                                                                                                                                                                                          ,PARA HACER VARIAS OPERACIONES COMODAMENTE,,
pagar sin traer efectivo y sin arriegarme en la calle                                                                                                                                                                                                          ,PARA HACER COMPRAS,,
para poder pagar un prestamo que debo                                                                                                                                                                                                                          ,PAGAR DEUDAS,,
compraría más ropa para poner mi negocio                                                                                                                                                                                                                     ,PARA HACER COMPRAS,PARA PONER UN NEGOCIO,
para compras personales como zapatos y ropa                                                                                                                                                                                                                    ,PARA HACER COMPRAS,,
para hacer pagos o compras en situación de emergencia                                                                                                                                                                                                         ,PARA HACER COMPRAS,PARA TENER UN RESPALDO EN EMERGENCIAS,
para invertir en algún negocio                                                                                                                                                                                                                                ,PARA PONER UN NEGOCIO,,
para poder irme de vacaciones con mi familia                                                                                                                                                                                                                   ,PARA IRME DE VIAJE O VACACIONES,,
para solicitar créditos                                                                                                                                                                                                                                       ,PARA SOLICITAR ALGUN PRESTAMO O CREDITO,,
para comprar cosas por Internet                                                                                                                                                                                                                                ,PARA HACER COMPRAS,,
"para nunca batallar por efectivo, si tienen cambio o no y comprar o pagar los servicios                                                                                                                                                                        ",PARA HACER COMPRAS,PAGO DE SERVICIOS,
puedes utilizar para muchas cosas y tener las cosas al momento y después pagar                                                                                                                                                                                ,PAGO DE SERVICIOS,,
Para que con esa yo pueda realiazar compras en centros comerciales y así pagarlo poco a poco en el banco                                                                                                                                                      ,PARA HACER COMPRAS,,
para sacar otro prestamos porque tengo gastos que necesito pagar pronto                                                                                                                                                                                        ,PARA SOLICITAR ALGUN PRESTAMO O CREDITO,,
"en realidad no la necesito pero para compras en general ropa, zapatos etc; nada tan importante pero no estaria mal                                                                                                                                             ",PARA HACER COMPRAS,,
facilita la compras e los productos de precio elvado y es una forma fácil de pagar                                                                                                                                                                            ,PARA HACER COMPRAS,,
"facilidad de compra, y para su mi historial creditisco tengo un mejor récord                                                                                                                                                                                  ",PARA HACER VARIAS OPERACIONES COMODAMENTE,,
hay veces que necesito el dinero rápido y compras y facilitan la forma de pago                                                                                                                                                                                ,PARA HACER COMPRAS,,
a veces la necesito y me gustaría salir del apuro en ese momento                                                                                                                                                                                              ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
es necesaria para mi historial crediticio y en algun futuro poder tener más facilidades                                                                                                                                                                       ,PARA HACER VARIAS OPERACIONES COMODAMENTE,,
para gastos indispensables tanto personales como del hogar                                                                                                                                                                                                     ,PARA GASTOS EN GENERAL,,
para comprar a crédito                                                                                                                                                                                                                                        ,PARA HACER COMPRAS,,
comprar mis muebles o algún pago con tarjeta en caso de no llevar efectivo                                                                                                                                                                                    ,PARA HACER COMPRAS,,
para sacar mis cosas en Elektra                                                                                                                                                                                                                                ,PARA HACER COMPRAS,,
Para guardar dinero                                                                                                                                                                                                                                            ,AHORRAR E INVERTIR PARA UN FUTURO,,
para pagar en auto servicios                                                                                                                                                                                                                                   ,PARA HACER VARIAS OPERACIONES COMODAMENTE,,
para comprar algúnas cosas que necesito                                                                                                                                                                                                                       ,PARA HACER COMPRAS,,
"creo que sería para alguna urgencia, ejem. ahora que se acerca la entrada a las escuelas                                                                                                                                                                      ",PARA TENER UN RESPALDO EN EMERGENCIAS,PARA GASTOS DE LA ESCUELA,
para comprar ahora y pagar despues                                                                                                                                                                                                                             ,PARA HACER COMPRAS,,
Para hacer compras y obtener dinero en caso de emergencia                                                                                                                                                                                                      ,PARA HACER COMPRAS,PARA TENER UN RESPALDO EN EMERGENCIAS,
compras a credito pagar despues                                                                                                                                                                                                                                ,PARA HACER COMPRAS,,
comprar algunas cosas que requiere mi casa y pagar despues                                                                                                                                                                                                     ,PARA MEJORAS EN LA CASA,PARA HACER COMPRAS,
para pagar gastos a semanas                                                                                                                                                                                                                                    ,PARA GASTOS EN GENERAL,,
Compras a credito cuando no tenga dinero                                                                                                                                                                                                                       ,PARA HACER COMPRAS,,
compras de la casa a credito                                                                                                                                                                                                                                   ,PARA HACER COMPRAS,,
compra linea blaca a meses sin intereses                                                                                                                                                                                                                       ,PARA HACER COMPRAS,,
Para poder depositar dinero                                                                                                                                                                                                                                    ,PARA ENVIAR O RECIBIR DINERO,,
para hacer pagos                                                                                                                                                                                                                                               ,PAGO DE SERVICIOS,,
"Para sacarme una lavadora en Elektra, ya que la mía se me descompuso y así terminar más rapido a la hora de lavar                                                                                                                                           ",PARA HACER COMPRAS,,
para enviar dinero a mis papas y asi poderlos ayudar                                                                                                                                                                                                           ,PARA ENVIAR O RECIBIR DINERO,,
Si le otorgan un préstamo le serviría para sus hijos                                                                                                                                                                                                         ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
para comprar una lavadora y un refri que me falta en mi casa                                                                                                                                                                                                   ,PARA HACER COMPRAS,,
para cubrir mis cuentas en caso de no tener un trabajo fijo                                                                                                                                                                                                    ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
"para hacer compras, las que necesitara y no pudiera cubrir al instante                                                                                                                                                                                         ",PARA HACER COMPRAS,,
"Para comprar productos dentro de la tienda y pagarlo a plazos, una televisión por ejemplo                                                                                                                                                                     ",PARA HACER COMPRAS,,
Para solicitar algún préstamo                                                                                                                                                                                                                                ,PARA SOLICITAR ALGUN PRESTAMO O CREDITO,,
Para comprarme una computadora dentro de la tienda e ir pagandolo semanalmente                                                                                                                                                                                 ,PARA HACER COMPRAS,,
para comprar cosas para mi cocina                                                                                                                                                                                                                              ,PARA HACER COMPRAS,,
Podría comprar productos dentro de la tienda                                                                                                                                                                                                                  ,PARA HACER COMPRAS,,
ahorrar en plazos                                                                                                                                                                                                                                              ,AHORRAR E INVERTIR PARA UN FUTURO,,
Para tener guardado su dinero y poder pagar sin tener efectivo en la mano                                                                                                                                                                                      ,PARA HACER COMPRAS,,
sacar creditos con facilidad                                                                                                                                                                                                                                   ,PARA HACER VARIAS OPERACIONES COMODAMENTE,,
para pagar deudas personales                                                                                                                                                                                                                                   ,PAGAR DEUDAS,,
comenta que para alguna emergencia que pueda surgir con algunos de sus familiares                                                                                                                                                                              ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
para poder pagar deudas sin necesidad de traer efectivo                                                                                                                                                                                                        ,PAGAR DEUDAS,,
para pagar lo que se llega a deber y sin arriesgó de traer efectivo                                                                                                                                                                                           ,PARA HACER COMPRAS,,
para no usar efectivo                                                                                                                                                                                                                                          ,PARA HACER VARIAS OPERACIONES COMODAMENTE,,
para pagar mis prestamos que tengo en deuda                                                                                                                                                                                                                    ,PAGAR DEUDAS,,
Para ir ahorrando                                                                                                                                                                                                                                              ,AHORRAR E INVERTIR PARA UN FUTURO,,
pagos programados                                                                                                                                                                                                                                              ,PAGO DE SERVICIOS,,
Para pagar cantidades que por el momento ni cuento fisicamemte                                                                                                                                                                                                 ,PARA HACER COMPRAS,,
para llevar más en orden mis gastos                                                                                                                                                                                                                           ,PARA HACER VARIAS OPERACIONES COMODAMENTE,,
para no cargar con efectivo                                                                                                                                                                                                                                    ,POR SEGURIDAD,,
aveces los necesito para la paga de mi trabajadores                                                                                                                                                                                                            ,PARA GASTOS EN GENERAL,,
comenta que para viajar a distintos lugares que alguna vez a considerado                                                                                                                                                                                       ,PARA IRME DE VIAJE O VACACIONES,,
aprovecharlo y viajar a lugares quew a querido conocer y asi poder llevar a su familia                                                                                                                                                                         ,PARA IRME DE VIAJE O VACACIONES,,
vacacionar y pagar despues                                                                                                                                                                                                                                     ,PARA IRME DE VIAJE O VACACIONES,,
